序号,测试文本,识别意图,置信度,阈值,状态,实体信息,响应时间,期望的识别结果,期望的实体
1,音量大一点,volume_up,99.99%,0.85,已识别,[],12ms,,
2,音量再大一点,volume_up,98.67%,0.85,已识别,[],12ms,,
3,声音大一点,volume_up,99.98%,0.85,已识别,[],15ms,,
4,大声点,volume_up,99.99%,0.85,已识别,[],14ms,,
5,音量调高三十三,volume_up,99.93%,0.85,已识别,[],15ms,,
6,声音调高200,volume_value,99.92%,0.85,已识别,[],15ms,,
7,音量低一点,volume_down,99.97%,0.85,已识别,[],12ms,,
8,音量再低一点,volume_down,99.94%,0.85,已识别,[],14ms,,
9,声音小一点,未识别,81.18%,0.85,未识别,[],14ms,,
10,小声点,volume_down,99.96%,0.85,已识别,[],13ms,,
11,音量调低三十,volume_down,99.99%,0.85,已识别,[],14ms,,
12,音量调低两百,volume_down,99.99%,0.85,已识别,[],14ms,,
13,音量调到五十,volume_value,99.21%,0.85,已识别,[],14ms,,
14,音量调高到百分之三十三,volume_value,98.25%,0.85,已识别,[],14ms,,
15,音量调低到五十,volume_value,99.01%,0.85,已识别,[],13ms,,
16,设置音量为八十,volume_value,96.90%,0.85,已识别,[],13ms,,
17,音量设为百分之六十,volume_down,91.31%,0.85,已识别,[],14ms,,
18,声音设为500,volume_value,99.97%,0.85,已识别,[],14ms,,
19,音量调到一百五十,volume_value,99.10%,0.85,已识别,[],14ms,,
20,音量最大,volume_max,99.95%,0.85,已识别,[],13ms,,
21,最高音量,volume_max,99.99%,0.85,已识别,[],14ms,,
22,音量调到最大,volume_max,99.99%,0.85,已识别,[],16ms,,
23,音量开到最大,volume_max,99.99%,0.85,已识别,[],17ms,,
24,选择最大音量,volume_max,99.95%,0.85,已识别,[],14ms,,
25,静音,mute,99.03%,0.85,已识别,[],12ms,,
26,静音模式,mute,99.68%,0.85,已识别,[],13ms,,
27,打开静音,mute,99.98%,0.85,已识别,[],16ms,,
28,关闭声音,mute,99.97%,0.85,已识别,[],16ms,,
29,音量调到最低,mute,99.98%,0.85,已识别,[],15ms,,
30,解除静音,unmute,99.96%,0.85,已识别,[],14ms,,
31,关闭静音,unmute,99.99%,0.85,已识别,[],15ms,,
32,取消静音,unmute,99.98%,0.85,已识别,[],15ms,,
33,恢复音量,unmute,99.95%,0.85,已识别,[],15ms,,
34,退出静音状态,unmute,100.00%,0.85,已识别,[],17ms,,
35,设置音量,volume_value,99.93%,0.85,已识别,[],15ms,,
36,帮我调整音量,volume_value,97.92%,0.85,已识别,[],16ms,,
37,声音控制,volume_up,93.04%,0.85,已识别,[],15ms,,
38,调一下声音,volume_value,99.92%,0.85,已识别,[],16ms,,
39,调节音量,volume_value,99.73%,0.85,已识别,[],13ms,,
40,亮度高一点,bright_up,100.00%,0.85,已识别,[],14ms,,
41,再亮一点,bright_up,99.98%,0.85,已识别,[],14ms,,
42,亮度大一点,bright_up,98.22%,0.85,已识别,[],14ms,,
43,亮度再高一点,bright_up,99.14%,0.85,已识别,[],15ms,,
44,屏幕亮一点,bright_up,99.84%,0.85,已识别,[],13ms,,
45,亮度增加50,bright_value,99.94%,0.85,已识别,[],15ms,,
46,亮度调高三十三,bright_up,100.00%,0.85,已识别,[],13ms,,
47,亮度调高200度,bright_value,99.94%,0.85,已识别,[],14ms,,
48,亮度低一点,bright_down,99.99%,0.85,已识别,[],17ms,,
49,屏幕暗一点,bright_down,100.00%,0.85,已识别,[],17ms,,
50,再暗一点,bright_down,100.00%,0.85,已识别,[],15ms,,
51,亮度暗一点,bright_down,99.67%,0.85,已识别,[],16ms,,
52,亮度再低一点,bright_down,99.98%,0.85,已识别,[],14ms,,
53,亮度调低三十,bright_down,100.00%,0.85,已识别,[],16ms,,
54,亮度减少50,bright_down,90.26%,0.85,已识别,[],15ms,,
55,亮度调低120,bright_value,92.40%,0.85,已识别,[],14ms,,
56,亮度调到五十,bright_value,93.92%,0.85,已识别,[],15ms,,
57,亮度调高到百分之三十三,bright_value,99.98%,0.85,已识别,[],14ms,,
58,亮度调低到五十,bright_value,98.94%,0.85,已识别,[],13ms,,
59,设置亮度为八十,未识别,75.85%,0.85,未识别,[],14ms,bright_value,八十
60,亮度设为百分之六十,未识别,52.96%,0.85,未识别,[],15ms,bright_value,六十
61,设置亮度值,bright_value,99.43%,0.85,已识别,[],14ms,bright_value,两百
62,亮度调到150,bright_value,100.00%,0.85,已识别,[],14ms,,
63,亮度设置为两百,未识别,56.97%,0.85,未识别,[],12ms,bright_value,两百
64,最高亮度,bright_max,99.95%,0.85,已识别,[],15ms,,
65,屏幕调到最亮,bright_max,99.98%,0.85,已识别,[],17ms,,
66,帮我把亮度调到最大,bright_max,99.96%,0.85,已识别,[],17ms,,
67,亮度调到最高,bright_max,99.98%,0.85,已识别,[],15ms,,
68,调到最大亮度,bright_max,99.98%,0.85,已识别,[],14ms,,
69,最低亮度,bright_min,99.98%,0.85,已识别,[],14ms,,
70,屏幕调到最暗,bright_min,100.00%,0.85,已识别,[],14ms,,
71,亮度调到最低,bright_min,100.00%,0.85,已识别,[],13ms,,
72,帮我把亮度调到最小,bright_min,99.99%,0.85,已识别,[],15ms,,
73,调到最小亮度,bright_min,100.00%,0.85,已识别,[],16ms,,
74,亮度调节,bright_value,99.66%,0.85,已识别,[],14ms,,
75,调一下亮度,bright_value,99.95%,0.85,已识别,[],19ms,,
76,设置下屏幕亮度,未识别,83.53%,0.85,未识别,[],13ms,,
77,亮度设置,bright_value,91.25%,0.85,已识别,[],15ms,,
78,帮我控制亮度,bright_up,96.89%,0.85,已识别,[],13ms,,
79,开始烹饪,voice_cmd_start_cooking,100.00%,0.85,已识别,[],15ms,,
80,开始做菜,voice_cmd_start_cooking,100.00%,0.85,已识别,[],16ms,,
81,开始加热,voice_cmd_start_cooking,100.00%,0.85,已识别,[],14ms,,
82,启动烹饪,voice_cmd_start_cooking,99.99%,0.85,已识别,[],13ms,,
83,开启烹饪,voice_cmd_start_cooking,99.98%,0.85,已识别,[],12ms,,
84,暂停,voice_cmd_pause_cooking,99.98%,0.85,已识别,[],12ms,,
85,暂停一下,voice_cmd_pause_cooking,99.99%,0.85,已识别,[],12ms,,
86,暂停加热,voice_cmd_pause_cooking,100.00%,0.85,已识别,[],12ms,,
87,暂停解冻,voice_cmd_pause_cooking,99.99%,0.85,已识别,[],13ms,,
88,暂停复热,voice_cmd_pause_cooking,99.99%,0.85,已识别,[],12ms,,
89,继续烹饪,voice_cmd_continue_cooking,100.00%,0.85,已识别,[],15ms,,
90,继续加热,voice_cmd_continue_cooking,100.00%,0.85,已识别,[],14ms,,
91,继续解冻,voice_cmd_continue_cooking,99.77%,0.85,已识别,[],14ms,,
92,继续复热,voice_cmd_continue_cooking,100.00%,0.85,已识别,[],12ms,,
93,接着加热,voice_cmd_continue_cooking,99.99%,0.85,已识别,[],13ms,,
94,停止烹饪,voice_cmd_stop_cooking,99.96%,0.85,已识别,[],15ms,,
95,结束烹饪,voice_cmd_stop_cooking,100.00%,0.85,已识别,[],17ms,,
96,退出烹饪,voice_cmd_stop_cooking,99.96%,0.85,已识别,[],15ms,,
97,关闭烹饪,voice_cmd_stop_cooking,99.93%,0.85,已识别,[],14ms,,
98,停止做饭,voice_cmd_stop_cooking,100.00%,0.85,已识别,[],16ms,,
99,加热到30,未识别,70.94%,0.85,未识别,[],16ms,set_cooking_temp,30
100,温度设置为50,未识别,49.04%,0.85,未识别,[],14ms,set_cooking_temp,50
