
序号,测试文本,识别意图,置信度,阈值,状态,实体信息,响应时间
1,音量大一点,volume_up,99.57%,0.80,已识别,[],782ms
2,音量再大一点,未识别,67.92%,0.80,未识别,[],14ms
3,声音大一点,volume_up,99.87%,0.80,已识别,[],14ms
4,大声点,volume_up,99.99%,0.80,已识别,[],15ms
5,音量调高三十三,volume_up,99.42%,0.80,已识别,[],13ms
6,声音调高200,volume_value,99.79%,0.80,已识别,[],17ms
7,音量低一点,volume_down,99.96%,0.80,已识别,[],17ms
8,音量再低一点,volume_down,99.90%,0.80,已识别,[],17ms
9,声音小一点,未识别,29.27%,0.80,未识别,"[{""entity"":""口感"",""start"":2,""end"":3,""confidence_entity"":0.3663393259048462,""value"":""小"",""extractor"":""DIETClassifier""}]",14ms
10,小声点,volume_down,100.00%,0.80,已识别,[],15ms
11,音量调低三十,volume_down,99.97%,0.80,已识别,[],13ms
12,音量调低两百,volume_down,99.99%,0.80,已识别,[],16ms
13,音量调到五十,volume_value,98.31%,0.80,已识别,[],16ms
14,音量调高到百分之三十三,volume_value,99.99%,0.80,已识别,[],14ms
15,音量调低到五十,volume_value,97.54%,0.80,已识别,[],15ms
16,设置音量为八十,volume_value,96.21%,0.80,已识别,[],18ms
17,音量设为百分之六十,未识别,67.55%,0.80,未识别,[],17ms
18,声音设为500,volume_value,99.94%,0.80,已识别,[],22ms
19,音量调到一百五十,volume_value,95.40%,0.80,已识别,[],16ms
20,音量最大,volume_max,100.00%,0.80,已识别,[],16ms
21,最高音量,volume_max,99.95%,0.80,已识别,[],16ms
22,音量调到最大,volume_max,99.99%,0.80,已识别,[],17ms
23,音量开到最大,volume_max,100.00%,0.80,已识别,[],13ms
24,选择最大音量,volume_max,99.95%,0.80,已识别,[],13ms
25,静音,mute,99.88%,0.80,已识别,[],12ms
26,静音模式,mute,99.79%,0.80,已识别,[],13ms
27,打开静音,mute,99.41%,0.80,已识别,[],13ms
28,关闭声音,mute,89.82%,0.80,已识别,[],12ms
29,音量调到最低,mute,100.00%,0.80,已识别,[],14ms
30,解除静音,unmute,100.00%,0.80,已识别,[],13ms
31,关闭静音,unmute,99.99%,0.80,已识别,[],14ms
32,取消静音,unmute,100.00%,0.80,已识别,[],13ms
33,恢复音量,unmute,99.88%,0.80,已识别,[],13ms
34,退出静音状态,unmute,99.99%,0.80,已识别,[],12ms
35,设置音量,volume_value,99.93%,0.80,已识别,[],14ms
36,帮我调整音量,volume_value,99.97%,0.80,已识别,[],17ms
37,声音控制,未识别,71.98%,0.80,未识别,[],14ms
38,调一下声音,volume_value,99.05%,0.80,已识别,[],15ms
39,调节音量,volume_value,99.94%,0.80,已识别,[],14ms
40,亮度高一点,bright_up,100.00%,0.80,已识别,[],14ms
41,再亮一点,bright_up,100.00%,0.80,已识别,[],15ms
42,亮度大一点,bright_up,99.17%,0.80,已识别,[],13ms
43,亮度再高一点,bright_up,99.37%,0.80,已识别,[],13ms
44,屏幕亮一点,bright_up,98.02%,0.80,已识别,[],13ms
45,亮度增加50,bright_value,95.77%,0.80,已识别,[],13ms
46,亮度调高三十三,bright_up,95.50%,0.80,已识别,[],14ms
47,亮度调高200度,bright_value,99.95%,0.80,已识别,[],14ms
48,亮度低一点,bright_down,99.99%,0.80,已识别,[],15ms
49,屏幕暗一点,bright_down,99.99%,0.80,已识别,[],15ms
50,再暗一点,bright_down,99.99%,0.80,已识别,[],16ms
51,亮度暗一点,bright_down,99.98%,0.80,已识别,[],18ms
52,亮度再低一点,bright_down,99.96%,0.80,已识别,[],15ms
53,亮度调低三十,bright_down,99.95%,0.80,已识别,[],14ms
54,亮度减少50,未识别,77.50%,0.80,未识别,[],13ms
55,亮度调低120,bright_value,92.91%,0.80,已识别,[],15ms
56,亮度调到五十,bright_value,96.42%,0.80,已识别,[],14ms
57,亮度调高到百分之三十三,bright_value,99.99%,0.80,已识别,[],13ms
58,亮度调低到五十,bright_value,99.11%,0.80,已识别,[],14ms
59,设置亮度为八十,bright_value,91.83%,0.80,已识别,[],13ms
60,亮度设为百分之六十,未识别,59.21%,0.80,未识别,[],15ms
61,设置亮度值,bright_value,99.45%,0.80,已识别,[],13ms
62,亮度调到150,bright_value,100.00%,0.80,已识别,[],13ms
63,亮度设置为两百,bright_value,99.15%,0.80,已识别,[],14ms
64,最高亮度,bright_max,99.96%,0.80,已识别,[],15ms
65,屏幕调到最亮,bright_max,99.99%,0.80,已识别,[],16ms
66,帮我把亮度调到最大,bright_max,99.99%,0.80,已识别,[],16ms
67,亮度调到最高,bright_max,99.99%,0.80,已识别,[],15ms
68,调到最大亮度,bright_max,99.99%,0.80,已识别,[],14ms
69,最低亮度,bright_min,99.89%,0.80,已识别,[],12ms
70,屏幕调到最暗,bright_min,99.96%,0.80,已识别,[],14ms
71,亮度调到最低,bright_min,99.98%,0.80,已识别,[],15ms
72,帮我把亮度调到最小,bright_min,99.98%,0.80,已识别,[],14ms
73,调到最小亮度,bright_min,99.98%,0.80,已识别,[],13ms
74,亮度调节,bright_value,97.70%,0.80,已识别,[],14ms
75,调一下亮度,bright_value,99.34%,0.80,已识别,[],16ms
76,设置下屏幕亮度,未识别,62.98%,0.80,未识别,[],16ms
77,亮度设置,bright_value,99.28%,0.80,已识别,[],15ms
78,帮我控制亮度,bright_up,94.49%,0.80,已识别,[],14ms
79,开始烹饪,voice_cmd_start_cooking,99.99%,0.80,已识别,[],14ms
80,开始做菜,voice_cmd_start_cooking,99.99%,0.80,已识别,[],14ms
81,开始加热,voice_cmd_start_cooking,99.98%,0.80,已识别,[],14ms
82,启动烹饪,voice_cmd_start_cooking,100.00%,0.80,已识别,[],13ms
